naics_code,industry_description,firm_size,number_of_firms
221210,Natural Gas Distribution,20-99 employees,57
221210,Natural Gas Distribution,100-499 employees,26
221210,Natural Gas Distribution,500+ employees,73
2213,"Water, Sewage and Other Systems",1-4 employees,2511
2213,"Water, Sewage and Other Systems",4-9 employees,841
2213,"Water, Sewage and Other Systems",10-19 employees,289
2213,"Water, Sewage and Other Systems",20-99 employees,179
2213,"Water, Sewage and Other Systems",100-499 employees,50
2213,"Water, Sewage and Other Systems",500+ employees,39
22131,Water Supply and Irrigation Systems,1-4 employees,2328
22131,Water Supply and Irrigation Systems,4-9 employees,768
22131,Water Supply and Irrigation Systems,10-19 employees,253
22131,Water Supply and Irrigation Systems,20-99 employees,139
22131,Water Supply and Irrigation Systems,100-499 employees,41
22131,Water Supply and Irrigation Systems,500+ employees,27
221310,Water Supply and Irrigation Systems,1-4 employees,2328
221310,Water Supply and Irrigation Systems,4-9 employees,768
221310,Water Supply and Irrigation Systems,10-19 employees,253
221310,Water Supply and Irrigation Systems,20-99 employees,139
221310,Water Supply and Irrigation Systems,100-499 employees,41
221310,Water Supply and Irrigation Systems,500+ employees,27
22132,Sewage Treatment Facilities,1-4 employees,169
22132,Sewage Treatment Facilities,4-9 employees,67
22132,Sewage Treatment Facilities,10-19 employees,33
22132,Sewage Treatment Facilities,20-99 employees,37
22132,Sewage Treatment Facilities,100-499 employees,13
22132,Sewage Treatment Facilities,500+ employees,14
221320,Sewage Treatment Facilities,1-4 employees,169
221320,Sewage Treatment Facilities,4-9 employees,67
221320,Sewage Treatment Facilities,10-19 employees,33
221320,Sewage Treatment Facilities,20-99 employees,37
221320,Sewage Treatment Facilities,100-499 employees,13
221320,Sewage Treatment Facilities,500+ employees,14
22133,Steam and Air-Conditioning Supply,1-4 employees,14
22133,Steam and Air-Conditioning Supply,4-9 employees,6
22133,Steam and Air-Conditioning Supply,10-19 employees,4
22133,Steam and Air-Conditioning Supply,20-99 employees,11
22133,Steam and Air-Conditioning Supply,500+ employees,6
221330,Steam and Air-Conditioning Supply,1-4 employees,14
221330,Steam and Air-Conditioning Supply,4-9 employees,6
221330,Steam and Air-Conditioning Supply,10-19 employees,4
221330,Steam and Air-Conditioning Supply,20-99 employees,11
221330,Steam and Air-Conditioning Supply,500+ employees,6
23,Construction,1-4 employees,512417
23,Construction,4-9 employees,121536
23,Construction,10-19 employees,68991
23,Construction,20-99 employees,53393
23,Construction,100-499 employees,7043
23,Construction,500+ employees,1166
236,Construction of Buildings,1-4 employees,180573
236,Construction of Buildings,4-9 employees,32487
236,Construction of Buildings,10-19 employees,15850
236,Construction of Buildings,20-99 employees,10482
236,Construction of Buildings,100-499 employees,1156
236,Construction of Buildings,500+ employees,350
2361,Residential Building Construction,1-4 employees,160190
2361,Residential Building Construction,4-9 employees,24844
2361,Residential Building Construction,10-19 employees,10017
2361,Residential Building Construction,20-99 employees,4766
2361,Residential Building Construction,100-499 employees,432
2361,Residential Building Construction,500+ employees,139
23611,Residential Building Construction,1-4 employees,160190
23611,Residential Building Construction,4-9 employees,24844
23611,Residential Building Construction,10-19 employees,10017
23611,Residential Building Construction,20-99 employees,4766
23611,Residential Building Construction,100-499 employees,432
23611,Residential Building Construction,500+ employees,139
236115,New Single-Family Housing Construction (except For-Sale Builders),1-4 employees,45329
236115,New Single-Family Housing Construction (except For-Sale Builders),4-9 employees,8223
236115,New Single-Family Housing Construction (except For-Sale Builders),10-19 employees,2924
236115,New Single-Family Housing Construction (except For-Sale Builders),20-99 employees,1187
236115,New Single-Family Housing Construction (except For-Sale Builders),100-499 employees,97
236115,New Single-Family Housing Construction (except For-Sale Builders),500+ employees,37
236116,New Multifamily Housing Construction (except For-Sale Builders),1-4 employees,2090
236116,New Multifamily Housing Construction (except For-Sale Builders),4-9 employees,516
236116,New Multifamily Housing Construction (except For-Sale Builders),10-19 employees,349
236116,New Multifamily Housing Construction (except For-Sale Builders),20-99 employees,395
236116,New Multifamily Housing Construction (except For-Sale Builders),100-499 employees,99
236116,New Multifamily Housing Construction (except For-Sale Builders),500+ employees,32
236117,New Housing For-Sale Builders,1-4 employees,8227
236117,New Housing For-Sale Builders,4-9 employees,1681
236117,New Housing For-Sale Builders,10-19 employees,977
236117,New Housing For-Sale Builders,20-99 employees,733
236117,New Housing For-Sale Builders,100-499 employees,107
236117,New Housing For-Sale Builders,500+ employees,50
236118,Residential Remodelers,1-4 employees,104544
236118,Residential Remodelers,4-9 employees,14425
236118,Residential Remodelers,10-19 employees,5768
236118,Residential Remodelers,20-99 employees,2471
236118,Residential Remodelers,100-499 employees,148
236118,Residential Remodelers,500+ employees,38
2362,Nonresidential Building Construction,1-4 employees,20383
2362,Nonresidential Building Construction,4-9 employees,7644
2362,Nonresidential Building Construction,10-19 employees,5838
2362,Nonresidential Building Construction,20-99 employees,5730
2362,Nonresidential Building Construction,100-499 employees,747
2362,Nonresidential Building Construction,500+ employees,244
23621,Industrial Building Construction,1-4 employees,1509
23621,Industrial Building Construction,4-9 employees,566
23621,Industrial Building Construction,10-19 employees,375
23621,Industrial Building Construction,20-99 employees,400
23621,Industrial Building Construction,100-499 employees,89
23621,Industrial Building Construction,500+ employees,68
236210,Industrial Building Construction,1-4 employees,1509
236210,Industrial Building Construction,4-9 employees,566
236210,Industrial Building Construction,10-19 employees,375
236210,Industrial Building Construction,20-99 employees,400
236210,Industrial Building Construction,100-499 employees,89
236210,Industrial Building Construction,500+ employees,68
23622,Commercial and Institutional Building Construction,1-4 employees,18875
23622,Commercial and Institutional Building Construction,4-9 employees,7078
23622,Commercial and Institutional Building Construction,10-19 employees,5463
23622,Commercial and Institutional Building Construction,20-99 employees,5333
23622,Commercial and Institutional Building Construction,100-499 employees,669
23622,Commercial and Institutional Building Construction,500+ employees,213
236220,Commercial and Institutional Building Construction,1-4 employees,18875
236220,Commercial and Institutional Building Construction,4-9 employees,7078
236220,Commercial and Institutional Building Construction,10-19 employees,5463
236220,Commercial and Institutional Building Construction,20-99 employees,5333
236220,Commercial and Institutional Building Construction,100-499 employees,669
236220,Commercial and Institutional Building Construction,500+ employees,213
237,Heavy and Civil Engineering Construction,1-4 employees,17079
237,Heavy and Civil Engineering Construction,4-9 employees,6129
237,Heavy and Civil Engineering Construction,10-19 employees,4635
237,Heavy and Civil Engineering Construction,20-99 employees,5620
237,Heavy and Civil Engineering Construction,100-499 employees,1294
237,Heavy and Civil Engineering Construction,500+ employees,360
2371,Utility System Construction,1-4 employees,7893
2371,Utility System Construction,4-9 employees,3374
2371,Utility System Construction,10-19 employees,2576
2371,Utility System Construction,20-99 employees,2978
2371,Utility System Construction,100-499 employees,641
2371,Utility System Construction,500+ employees,206
23711,Water and Sewer Line and Related Structures Construction,1-4 employees,5147
23711,Water and Sewer Line and Related Structures Construction,4-9 employees,2144
23711,Water and Sewer Line and Related Structures Construction,10-19 employees,1473
23711,Water and Sewer Line and Related Structures Construction,20-99 employees,1507
23711,Water and Sewer Line and Related Structures Construction,100-499 employees,243
23711,Water and Sewer Line and Related Structures Construction,500+ employees,52
237110,Water and Sewer Line and Related Structures Construction,1-4 employees,5147
237110,Water and Sewer Line and Related Structures Construction,4-9 employees,2144
237110,Water and Sewer Line and Related Structures Construction,10-19 employees,1473
237110,Water and Sewer Line and Related Structures Construction,20-99 employees,1507
237110,Water and Sewer Line and Related Structures Construction,100-499 employees,243
237110,Water and Sewer Line and Related Structures Construction,500+ employees,52
23712,Oil and Gas Pipeline and Related Structures Construction,1-4 employees,577
23712,Oil and Gas Pipeline and Related Structures Construction,4-9 employees,258
23712,Oil and Gas Pipeline and Related Structures Construction,10-19 employees,248
23712,Oil and Gas Pipeline and Related Structures Construction,20-99 employees,472
23712,Oil and Gas Pipeline and Related Structures Construction,100-499 employees,163
23712,Oil and Gas Pipeline and Related Structures Construction,500+ employees,80
237120,Oil and Gas Pipeline and Related Structures Construction,1-4 employees,577
237120,Oil and Gas Pipeline and Related Structures Construction,4-9 employees,258
237120,Oil and Gas Pipeline and Related Structures Construction,10-19 employees,248
237120,Oil and Gas Pipeline and Related Structures Construction,20-99 employees,472
237120,Oil and Gas Pipeline and Related Structures Construction,100-499 employees,163
237120,Oil and Gas Pipeline and Related Structures Construction,500+ employees,80
23713,Power and Communication Line and Related Structures Construction,1-4 employees,2170
23713,Power and Communication Line and Related Structures Construction,4-9 employees,972
23713,Power and Communication Line and Related Structures Construction,10-19 employees,855
23713,Power and Communication Line and Related Structures Construction,20-99 employees,999
23713,Power and Communication Line and Related Structures Construction,100-499 employees,243
23713,Power and Communication Line and Related Structures Construction,500+ employees,116
237130,Power and Communication Line and Related Structures Construction,1-4 employees,2170
237130,Power and Communication Line and Related Structures Construction,4-9 employees,972
237130,Power and Communication Line and Related Structures Construction,10-19 employees,855
237130,Power and Communication Line and Related Structures Construction,20-99 employees,999
237130,Power and Communication Line and Related Structures Construction,100-499 employees,243
237130,Power and Communication Line and Related Structures Construction,500+ employees,116
2372,Land Subdivision,1-4 employees,3544
2372,Land Subdivision,4-9 employees,552
2372,Land Subdivision,10-19 employees,234
2372,Land Subdivision,20-99 employees,153
2372,Land Subdivision,100-499 employees,43
2372,Land Subdivision,500+ employees,29
23721,Land Subdivision,1-4 employees,3544
23721,Land Subdivision,4-9 employees,552
23721,Land Subdivision,10-19 employees,234
23721,Land Subdivision,20-99 employees,153
23721,Land Subdivision,100-499 employees,43
23721,Land Subdivision,500+ employees,29
237210,Land Subdivision,1-4 employees,3544
237210,Land Subdivision,4-9 employees,552
237210,Land Subdivision,10-19 employees,234
237210,Land Subdivision,20-99 employees,153
237210,Land Subdivision,100-499 employees,43
237210,Land Subdivision,500+ employees,29
2373,"Highway, Street, and Bridge Construction",1-4 employees,3332
2373,"Highway, Street, and Bridge Construction",4-9 employees,1395
2373,"Highway, Street, and Bridge Construction",10-19 employees,1246
2373,"Highway, Street, and Bridge Construction",20-99 employees,1953
2373,"Highway, Street, and Bridge Construction",100-499 employees,516
2373,"Highway, Street, and Bridge Construction",500+ employees,137
23731,"Highway, Street, and Bridge Construction",1-4 employees,3332
23731,"Highway, Street, and Bridge Construction",4-9 employees,1395
23731,"Highway, Street, and Bridge Construction",10-19 employees,1246
23731,"Highway, Street, and Bridge Construction",20-99 employees,1953
23731,"Highway, Street, and Bridge Construction",100-499 employees,516
23731,"Highway, Street, and Bridge Construction",500+ employees,137
237310,"Highway, Street, and Bridge Construction",1-4 employees,3332
237310,"Highway, Street, and Bridge Construction",4-9 employees,1395
237310,"Highway, Street, and Bridge Construction",10-19 employees,1246
237310,"Highway, Street, and Bridge Construction",20-99 employees,1953
237310,"Highway, Street, and Bridge Construction",100-499 employees,516
237310,"Highway, Street, and Bridge Construction",500+ employees,137
2379,Other Heavy and Civil Engineering Construction,1-4 employees,2310
2379,Other Heavy and Civil Engineering Construction,4-9 employees,809
2379,Other Heavy and Civil Engineering Construction,10-19 employees,580
2379,Other Heavy and Civil Engineering Construction,20-99 employees,543
2379,Other Heavy and Civil Engineering Construction,100-499 employees,109
2379,Other Heavy and Civil Engineering Construction,500+ employees,51
23799,Other Heavy and Civil Engineering Construction,1-4 employees,2310
23799,Other Heavy and Civil Engineering Construction,4-9 employees,809
23799,Other Heavy and Civil Engineering Construction,10-19 employees,580
23799,Other Heavy and Civil Engineering Construction,20-99 employees,543
23799,Other Heavy and Civil Engineering Construction,100-499 employees,109
23799,Other Heavy and Civil Engineering Construction,500+ employees,51
